period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1224220,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1223530,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1222317,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1224220,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1225269,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1219700,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1219413,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1219193,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1219700,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1220148,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,1210,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,1696,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,1865,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,1210,megawatthours
2026-01-16,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,722,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1302479,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1294078,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1286093,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1302479,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1311195,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1326468,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1317676,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1311589,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1326468,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1335769,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1305180,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1296860,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1289306,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1305180,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1313699,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,2705,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,2785,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,3217,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,2705,megawatthours
2026-01-17,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,2508,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1329785,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1335753,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1341482,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1329785,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1323911,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1343260,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1347109,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1351045,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1343260,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1338912,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1331682,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1337605,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1343094,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1331682,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1326016,megawatthours
2026-01-18,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,1900,megawatthours
