period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1725328,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1732952,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1688749,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1685983,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1683282,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1688749,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1692174,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-11210,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-11192,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-11193,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-11210,megawatthours
2026-01-25,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-11211,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1634659,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1638791,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1643235,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1634659,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1630770,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1834746,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1840980,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1840509,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1834746,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1828448,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1622435,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1625743,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1629748,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1622435,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1619203,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-12215,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-13039,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-13479,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-12215,megawatthours
2026-01-26,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-11558,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1523403,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1530689,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1537776,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1523403,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1515952,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1604325,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1611532,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1621817,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1604325,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1597189,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1533289,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1540242,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1546669,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1533289,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1526337,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,9894,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,9562,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,8889,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,9894,megawatthours
2026-01-27,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,10393,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1401387,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1403534,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1405442,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1401387,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1399131,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1475591,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1481219,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1483980,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1475591,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1470010,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1400388,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1402051,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1404316,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1400388,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1398522,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-996,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-1482,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-1111,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-996,megawatthours
2026-01-28,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-607,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1335725,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1339614,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1343486,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1335725,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1331776,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1367186,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1366622,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1371447,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1367186,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1368074,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1355302,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1359376,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1362506,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1355302,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1351262,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,19505,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,19691,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,18948,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,19505,megawatthours
2026-01-29,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,19416,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1395799,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1389145,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1383143,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1395799,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1402771,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1433532,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1431230,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1426199,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1433532,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1435755,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1402647,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1396665,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1391355,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1402647,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1409000,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,6855,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,7527,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,8220,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,6855,megawatthours
2026-01-30,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,6235,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1516651,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1512223,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1507139,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1516651,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1520450,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1550195,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1545181,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1540978,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1550195,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1554711,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1521238,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1517495,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1513082,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1521238,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1524292,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,4590,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,5275,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,5946,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,4590,megawatthours
2026-01-31,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,3845,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1440472,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1448720,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1456651,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1440472,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1432196,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1415901,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1424311,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1434272,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1415901,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1406816,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1436622,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1444156,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1451395,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1436622,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1429068,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-3851,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-4565,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-5257,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-3851,megawatthours
2026-02-01,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-3129,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1300011,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1309559,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1318510,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1300011,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1289901,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1313525,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1321726,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1327604,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1313525,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1304782,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1303441,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1312915,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1321811,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1303441,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1293405,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,3427,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,3353,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,3298,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,3427,megawatthours
2026-02-02,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,3501,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1168315,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1168673,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1169372,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1168315,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1168545,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1198415,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1199432,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1200833,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1198415,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1198054,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1172673,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1173274,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1174030,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1172673,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1172655,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,4358,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,4600,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,4657,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,4358,megawatthours
2026-02-03,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,4111,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1218144,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1213780,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1209929,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1218144,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1223005,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1212437,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1208268,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1206344,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1212437,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1217266,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1218276,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1214094,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1210394,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1218276,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1222848,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,142,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,324,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,474,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,142,megawatthours
2026-02-04,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-147,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1241825,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1245072,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1247707,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1241825,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1237933,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1252139,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1254671,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1255640,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1252139,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1249147,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1243476,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1246440,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1249324,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1243476,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1240069,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,1661,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,1379,megawatthours
2026-02-05,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,1629,megawatthours
